ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Fleet,Vehicle,Fuel,Dist.Run,MPG,Typ
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,84600,GULLY TANK,7756.47,13848K,5.04,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,AY61ESG  ,SMALL VAN ,1079.63,ERROR,,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,AY61ESN  ,SMALL VAN ,1209.89,11313M*,42.5,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BD64LFP  ,SMALL VAN ,303.33,2321M*,41,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BD64LHW  ,SMALL VAN ,475.13,3683M*,39.32,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BF15MOV  ,MED VAN   ,753.72,4252M*,28.06,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BF15MTU  ,MED VAN   ,881.89,6204M*,34.16,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BF65ZGZ  ,MED TIPPER,65,ONLY,ONE AUDIT,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BG60KXK  ,MED TIPPER,1838.96,10309M,25.48,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BN13JXL  ,MED TIPPER,934.57,4788M*,24.97,D
13/07/2016,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/subject/7539,Fleet Management,BN63NSO  ,MED VAN   ,182.45,653M*,23.67,D
