Reference,Fleet,Vehicle,Fuel,Typ,Odo,Dist.Run,MPG
533KTT          ,84600,GULLY TANK,5638.33,D,31138,10504K,5.26
AY61ESG         ,AY61ESG  ,SMALL VAN ,1369.43,D,19779,14099M,46.8
AY61ESN         ,AY61ESN  ,SMALL VAN ,232.09,D,33656,2002M,39.21
BF15MOV         ,BF15MOV  ,MED VAN   ,2023.68,D,26273,12361M,27.76
BF65XVV         ,BF65XVV  ,MED TIPPER,782.43,D,16114,3305M*,20.94
BF65YZA         ,BF65YZA  ,MED TIPPER,544.11,D,16261,2244M*,20.08
BF65ZCN         ,BF65ZCN  ,MED TIPPER,680.79,D,10026,2727M*,20.13
BF65ZGZ         ,BF65ZGZ  ,MED TIPPER,1341.43,D,5201,3406M,11.54
BG60KXK         ,BG60KXK  ,MED TIPPER,2145.66,D,77124,10997M,23.3
BN13JXL         ,BN13JXL  ,MED TIPPER,256.74,D,45276,1171M,20.73
BN13JYO         ,BN13JYO  ,MED TIPPER,1018.18,D,56712,3834M*,18.13
BT64KJK         ,BT64KJK  ,SMALL VAN ,214.49,D,25743,1306M*,37.32
BU14EYS         ,BU14EYS  ,SMALL VAN ,234.6,D,30942,2063M,39.97
BX07ZPK         ,3326,LIBRARY BU,2133.56,D,60347,7616M,16.23
BX64BCE         ,BX64BCE  ,MED VAN   ,1909.2,D,50770,10351M*,25.46
BX64BFL         ,BX64BFL  ,LARGE VAN ,2096.4,D,35019,10741M,23.29
CE65FZW         ,CE65FZW  ,SMALL VAN ,930.21,D,26127,8184M*,41.65
CITY CNT MASTER ,CITY CNT ,MASTER    ,5872.6,D,PLANT,KEY,
CK13DKU         ,CK13DKU  ,SMALL VAN ,426.99,D,43070,3670M*,41.1
CK65XZA         ,CK65XZA  ,SMALL VAN ,92.64,D,10084,509M*,38.34
CN15MXW         ,CN15MXW  ,SMALL VAN ,2269,D,32256,16802M,33.66
CN15MXX         ,CN15MXX  ,SMALL VAN ,1164.77,D,17617,8898M,34.72
CN15MXY         ,CN15MXY  ,SMALL VAN ,129.98,D,10327,1199M,41.93
CN15MXZ         ,CN15MXZ  ,SMALL VAN ,109.59,D,10899,953M,39.53
CN15MYA         ,CN15MYA  ,SMALL VAN ,88.05,D,7977,799M,41.25
CN15MYB         ,CN15MYB  ,SMALL VAN ,190.79,D,11042,1742M,41.5
CN15MYC         ,CN15MYC  ,SMALL VAN ,149.34,D,15290,1138M,34.64
CN15MYD         ,CN15MYD  ,SMALL VAN ,273.61,D,10470,2152M,35.75
CN15MYF         ,CN15MYF  ,SMALL VAN ,138.96,D,11534,1129M,36.93
CN15MYG         ,CN15MYG  ,SMALL VAN ,172.14,D,13815,1449M,38.26
CN15MYH         ,CN15MYH  ,SMALL VAN ,1209.43,D,21300,10054M,37.79
CN15MYJ         ,CN15MYJ  ,SMALL VAN ,111.08,D,10725,1043M,42.68
CN15MYK         ,CN15MYK  ,SMALL VAN ,164.55,D,6559,1421M,39.25
CN65BCF         ,CN65BCF  ,MED TIPPER,775.67,D,9192,2551M*,17.34
CN65BCK         ,CN65BCK  ,MED TIPPER,1497.05,D,12299,9356M*,29.7
CN65BCV         ,CN65BCV  ,MED TIPPER,315.12,D,9176,1144M*,20.79
CN65CKK         ,CN65CKK  ,MED TIPPER,3350.39,D,19455,16437M*,22.7
CN66ENC         ,CN66ENC  ,MED TIPPER,445.77,D,3220,2764M*,32.21
CN66ENE         ,CN66ENE  ,MED TIPPER,260.24,D,1781,1428M*,29.48
CN66ENH         ,CN66ENH  ,MED TIPPER,317.16,D,2549,2048M*,29.36
CX15HFH         ,CX15HFH  ,MINIBUS   ,1616.05,D,23232,12391M*,35.26
DF66EWW         ,DF66EWW  ,SMALL VAN ,185.67,D,2535,1314M*,37.79
DF66EXE         ,DF66EXE  ,SMALL VAN ,136.01,D,2128,777M*,37.79
DG13ZFJ         ,DG13ZFJ  ,CAR       ,1132.37,D,46903,10053M*,42.11
DG16PXZ         ,DG16PXZ  ,MED TIPPER,561.43,D,6725,4900M*,43.75
DK08KKU         ,78023,2 AXLE BIN,3117.01,D,163372,8539K,7.74
DOC MNGT MASTER ,DOC MAST ,MASTER    ,1119.14,D,13603,ERROR,
DX13GYT         ,DX13GYT  ,TRACTOR   ,2352.67,D,1781,300H,0.13
E015JCZ         ,E015JCZ  ,SMALL VAN ,785.77,D,11860,6612M,38.25
EA15KWT         ,EA15KWT  ,MED TIPPER,942.44,D,8046,4555M,21.97
EA15KWX         ,EA15KWX  ,MED TIPPER,1073.44,D,8851,5384M,22.8
EA64TWW         ,EA64TWW  ,MED VAN   ,1018.21,D,33153,8140M,36.34
EK65HSN         ,EK65HSN  ,MED VAN   ,260,D,23067,979M*,22.82
EK65HTV         ,EK65HTV  ,MED VAN   ,1067.14,D,14535,7203M,30.68
ENEH MASTER     ,ENEH MAS ,MASTER    ,25312.21,D,PLANT,KEY,
EO15VDR         ,EO15VDR  ,SMALL VAN ,848.34,D,10800,6084M,32.6
FL14RKN         ,FL14RKN  ,CAR       ,75.92,D,53316,489M*,65.43
FL65EFY         ,1100,SMALL VAN ,597.47,D,7186,5352M,40.72
FL65FBA         ,12,CAR       ,120.45,D,1409,1104M*,51.31
FM65XYT         ,FM65XYT  ,CAR       ,255.65,D,16399,1869M*,37.6
FN62HTP         ,FN62HTP  ,MED TIPPER,905.62,D,51162,6034M,30.29
FN62HTU         ,FN62HTU  ,MED TIPPER,1619.6,D,76369,7702M,21.62
GN15BYT         ,GN15BYT  ,MINIBUS   ,249.95,D,2845,1540M,28.01
GN56NHB         ,78043,MINIBUS   ,534.55,D,18933,2124M,18.06
GN58AFK         ,GN58AFK  ,MINIBUS   ,498.24,D,12655,2160M,19.71
GN58OZC         ,GN58OZC  ,MINIBUS   ,322,D,17884,1042M,14.71
GN60HYX         ,78070,MINIBUS   ,815.61,D,21024,3943M,21.97
GX63HLW         ,GX63HLW  ,MINIBUS   ,323.05,D,6094,1543M*,27.18
H/W SEAC        ,HWSMAST  ,MASTER    ,8751.13,D,PLANT,KEY,
HENSHAW MASTER  ,HWHMAST  ,MASTER    ,4037.72,D,PLANT,KEY,
HG12KJV         ,HG12KJV  ,MED TIPPER,1072.26,D,36456,6030M*,27.16
HG12KJX         ,HG12KJX  ,MED TIPPER,423.92,D,55571,2148M,23.03
HG12KKE         ,HG12KKE  ,MED TIPPER,1365,D,62087,9047M,30.13
HG12KKF         ,HG12KKF  ,MED TIPPER,570.33,D,58246,2284M*,20.22
HIRED           ,LIBMAST  ,MASTER    ,66.74,D,PLANT,KEY,
HJ12URD         ,78092,MED TIPPER,960.42,D,135533,4603M*,22.69
HW SEACROFT MAST,HWSMAST1 ,MASTER    ,1459.83,D,PLANT,KEY,
KE53ENK         ,3305,LIBRARY BU,2047.34,D,67777,7848K,10.83
KP56AHG         ,KP65AHG  ,MED VAN   ,1868.82,D,26676,10792M*,27.14
KR12LHT         ,KR12LHT  ,MED TIPPER,373.53,D,40302,1662M*,24.37
KR12LLT         ,KR12LLT  ,MED TIPPER,2553.88,D,65799,12306M,21.9
KR12LOD         ,KR12LOD  ,MED TIPPER,3305.11,D,76041,18925M,26.03
KX13JMU         ,KX13JMU  ,LUTON     ,162.47,D,138947,872M,24.4
KX16LML         ,KX16LML  ,MED VAN   ,1426.22,D,8943,8316M*,27.68
KX16LMM         ,KX16LMM  ,MED VAN   ,891.93,D,7923,6679M*,36.37
KX63OBB         ,KX63OBB  ,MED VAN   ,55.77,D,66787,ONLY,ONE AUDIT
L/LIGHT MASTER  ,LMAST6   ,MASTER    ,4631.11,D,VISITOR,KEY,
L/LIGHTS MASTER2,LMAST2   ,MASTER    ,865.76,D,VISITOR,KEY,
LC63XFF         ,Loan     ,SMALL VAN ,1075.94,D,41793,14214M,60.05
LIBRARY MASTER2 ,MASTER   ,MASTER    ,261.72,D,PLANT,KEY,
LJ65DKP         ,78560,SML SWEEPE,9146.8,D,10130,6232M,3.1
LJ65DMO         ,78567,SML SWEEPE,5889.4,D,8349,5305M*,4.11
LJ65DNP         ,78579,SML SWEEPE,8131.7,D,9204,6747M,3.77
LJ65DOH         ,78568,SML SWEEPE,4623.04,D,7201,3437M*,3.4
LJ65DPO         ,78574,SML SWEEPE,12692.33,D,14855,9799K,2.18
LJ65FWG         ,78561,SML SWEEPE,7729.93,D,10153,7753M,4.56
LJ65FWH         ,78562,SML SWEEPE,3148.74,D,7001,5189K,4.65
LJ65FWK         ,78563,SML SWEEPE,6171.93,D,8719,6544K*,3.01
LJ65FWL         ,78564,SML SWEEPE,6434.4,D,13103,9064M,6.4
LJ65FWM         ,78565,SML SWEEPE,3893.32,D,9036,4578M*,5.4
LJ65FWN         ,78566,SML SWEEPE,262.73,D,26107,391M*,7.86
LJ65FWND        ,78566DD  ,SML SWEEPE,543.33,D,4314,867M,7.25
LJ65FWU         ,78569,SML SWEEPE,392.73,D,3351,435M,5.03
LJ65FWUDD       ,78569 D  ,SML SWEEPE,2604.88,D,6416,3896M,6.8
LJ65FWV         ,78570,SML SWEEPE,3984.92,D,7419,4271K*,3.05
LJ65FWW         ,78571,SML SWEEPE,2428.68,D,11559,6206K,7.22
LJ65FWX         ,78572,SML SWEEPE,4706.38,D,6480,4515M,4.36
LJ65FWY         ,78573,SML SWEEPE,1718.05,D,7563,4408K,7.25
LJ65FWZ         ,78575,SML SWEEPE,10511.27,D,13221,8640M,3.74
LJ65FXA         ,78576,SML SWEEPE,6865.19,D,10529,6196M,4.1
LJ65FXB         ,78577,SML SWEEPE,1913.13,D,5861,1821M,4.33
LJ65FXC         ,78578,SML SWEEPE,5062.89,D,8146,5680M,5.1
LK15KKD         ,78552,SWEEPER   ,10677.68,D,27511,12888K,3.41
LK15KKE         ,78554,SWEEPER   ,6035.34,D,20969,12121K,5.67
LM12YUH         ,78555,SWEEPER   ,2906.73,D,29774,4382M,6.85
LN15KKC         ,78551,SWEEPER   ,9677.36,D,42564,23854M,11.2
LN15KKF         ,78556,SWEEPER   ,10278.38,D,32487,15553K,4.27
LN15KKG         ,LN15KKG  ,SWEEPER   ,8932.59,D,19381,7785K*,2.47
LN15KKH         ,78557,SWEEPER   ,6863.57,D,24977,9510K,3.91
LN15KKJ         ,78558,SWEEPER   ,8187.5,D,36510,17094K*,5.92
LN15KKO         ,785600,SWEEPER   ,9172.42,D,26117,12365M,6.13
LOCALITY SSE MAS,SSE MASTE,MASTER    ,27865.48,D,6674,4861M*,0.81
LR66EPC         ,LR66EPC  ,SMALL VAN ,16.46,D,1128,ONLY,ONE AUDIT
LV16HLA         ,419,WELFARE   ,4092.84,D,17181,16433M,18.25
LV16HLC         ,420,WELFARE   ,3480.88,D,17809,17072M,22.29
LV16HLD         ,421,WELFARE   ,3510.32,D,16154,15856M,20.53
LV16HLE         ,422,WELFARE   ,3640.45,D,17220,17151M*,21.76
LV16HLF         ,417,WELFARE   ,4946.79,D,25366,23776M,21.85
LV16HLR         ,423,WELFARE   ,3396.88,D,14904,14844M*,20.25
LV16LVG         ,418,WELFARE   ,4692.08,D,22202,21227M,20.56
LX65AUE         ,416,WELFARE   ,5174.69,D,23596,22420M,19.69
LX65AUF         ,415,WELFARE   ,4010.99,D,18607,17359M,19.67
LX65AUH         ,411,WELFARE   ,5477.83,D,24514,22253M,18.47
LX65AUJ         ,412,WELFARE   ,4604.06,D,21175,19096M,18.85
LX65AUK         ,414,WELFARE   ,5031.31,D,24199,22269M,20.12
LX65AUL         ,413,WELFARE   ,3082.71,D,14772,13761M,20.29
LX65AUM         ,403,WELFARE   ,4380.58,D,18121,16216M,16.83
LX65AUN         ,410,WELFARE   ,3251.99,D,14556,13064M,18.26
LX66AFY         ,447,WELFARE   ,1487.94,D,5930,5879M*,18.7
LX66AHE         ,451,WELFARE   ,2338.44,D,8522,8471M*,16.93
LX66AHJ         ,446,WELFARE   ,1451.58,D,6154,6049M*,19.68
LX66AJY         ,450,WELFARE   ,1362.75,D,6085,5860M*,20.27
LX66ALO         ,448,WELFARE   ,2079.33,D,8277,8222M*,18.49
LX66AMU         ,449,WELFARE   ,1613.72,D,6453,6404M*,18.68
MA13MWL         ,MA13MWL  ,LARGE VAN ,1026.82,D,55662,5463M,24.18
MA62EYX         ,MA62EYX  ,MED VAN   ,130,D,48807,366M*,25.59
MA62FNY         ,MA62FNY  ,MED VAN   ,1755,D,70845,10954M*,29.46
MA62FOC         ,MA62FOC  ,MED VAN   ,1288.69,D,73863,9297M*,34.38
MA62YDX         ,MA62YDX  ,MED VAN   ,507.09,D,30412,3213M,28.8
MA64HWY         ,MA64HWY  ,MED VAN   ,1248.08,D,110625,80102M?,ERROR
MA64HXJ         ,MA64HXJ  ,MED VAN   ,417.64,D,16032,3070M,33.41
MAILROOM MASTER ,MAILMAST ,MASTER    ,1033.98,D,PLANT,KEY,
MASTER ENV ENE  ,MASTER EN,MASTER    ,51473.76,D,PLANT,KEY,
MASTER LIBRARY  ,MASTER LI,MASTER    ,861.71,D,PLANT,KEY,
MASTERMOW       ,MOWMAST1 ,MASTER    ,28732.27,D,5955,ERROR,
MC16PYO         ,MC16PYO  ,MINIBUS   ,1557.65,D,12888,10645M*,32.31
MF11BPZ         ,MF11BPZ  ,MED VAN   ,130.04,D,58785,975M,34.08
MF11BWV         ,MF11BWV  ,SMALL VAN ,565.83,D,64774,7234M*,63.17
MF12LME         ,MF12LME  ,SMALL VAN ,506.51,D,52969,5138M,46.11
MF12LNT         ,MF12LNT  ,SMALL VAN ,257.32,D,44478,4556M,80.48
MF12LOA         ,MF12LOA  ,MED VAN   ,65,D,55333,398M,27.83
MF12LTE         ,MF12LTE  ,MED VAN   ,65,D,66774,ONLY,ONE AUDIT
MF12LTU         ,MF12LTU  ,MED VAN   ,260,D,75814,806M*,28.18
MF13URJ         ,MF13URJ  ,MED VAN   ,850.24,D,7678,4858M*,28.12
MF13UUS         ,MF13UUS  ,MED VAN   ,193.78,D,69152,971M*,33.95
MF15OHT         ,MF15OHT  ,SMALL VAN ,221.46,D,43426,1556M,31.94
MF60HFK         ,MF60HFK  ,MED VAN   ,515.84,D,87593,3287M,28.96
MF61YWM         ,MF61YWM  ,MED VAN   ,22.22,D,27678,ONLY,ONE AUDIT
MF64EBK         ,MF64EBK  ,LARGE VAN ,124.64,D,67147,391M*,27.34
MF64EBM         ,MF64EBM  ,MED VAN   ,195,D,32054,1185M,27.62
MJ10SXK         ,MJ10SXK  ,SMALL VAN ,74.95,D,89284,423M*,49.54
MJ15GWE         ,MJ15GWE  ,MED VAN   ,1848.23,D,38125,11159M*,28.44
MJ15YGZ         ,MJ15YGZ  ,MED VAN   ,2108.82,D,31427,16046M,34.59
MJ16XLX         ,701,SMALL VAN ,545.06,D,6340,6300M*,54.97
MJ16XMA         ,700,SMALL VAN ,571.28,D,7203,7165M*,59.78
MJ16XMY         ,13,4 X 4     ,671.52,D,6326,6292M*,44.81
MJ62OEW         ,MJ60OEW  ,MED VAN   ,594.26,D,58667,3477M*,34.04
MK12FKS         ,MK12FKS  ,MED VAN   ,320.47,D,57238,2273M,32.24
MK12FKY         ,MK12FKY  ,MED VAN   ,127.25,D,175181,404M*,28.78
MK16XLY         ,702,SMALL VAN ,1067.07,D,15576,15468M*,67.8
MK16YUY         ,1866,LARGE VAN ,1371.91,D,7367,7261M*,25.24
MK58XOT         ,MK58XOT  ,SMALL VAN ,626.42,D,75225,4962M,36.01
ML60LXS         ,1115,SMALL VAN ,225.93,D,48202,2520M,50.7
