fleet_id,vehicle,fuel_type,fuel_liters,dist_km,mpg,year,km_per_liter,litros_teoricos,co2_kg,vehicle_cat
86904,LOADING SH,D,594.37,5911.10582,28.09,2013,9.94516180157141,594.37,1592.9116000000001,Truck
1201,SMALL VAN,D,893.34,11268.59868,35.63,2013,12.614008865605479,893.34,2394.1512000000002,Van
AV11VGJ,SMALL VAN,D,682.74,8505.3619,36.61,2013,12.457687992500805,682.74,1829.7432000000001,Van
98052,MINIBUS,D,65.0,,,2013,,,174.20000000000002,Bus
BD60XCL,MED VAN,D,1261.01,15002.26748,33.6,2013,11.89702498790652,1261.01,3379.5068,Van
BG11ANP,MED VAN,D,65.0,571.3157,24.83,2013,8.789472307692307,65.0,174.20000000000002,Van
BG11APO,MED VAN,D,195.0,1485.42082,32.27,2013,7.617542666666667,195.0,522.6,Van
BG60KXK,MED TIPPER,D,2101.41,16212.49116,21.79,2013,7.71505377817751,2101.41,5631.7788,Truck
BG60KZY,MED TIPPER,D,1657.92,18758.46704,31.96,2013,11.314458502219647,1657.92,4443.225600000001,Truck
BJ10OGE,SMALL VAN,D,222.09,3567.90678,45.37,2013,16.065139267864378,222.09,595.2012000000001,Van
BJ11ZYE,MED VAN,D,841.41,8907.6969,29.9,2013,10.586630655685102,841.4099999999999,2254.9788,Van
BJ11ZZT,MED VAN,D,509.91,4239.00156,23.48,2013,8.31323480614226,509.90999999999997,1366.5588000000002,Van
BN63NSJ,LUTON,D,192.83,1047.68034,23.15,2013,5.433181247731161,192.83,516.7844000000001,Van
78033,MINIBUS,D,744.63,7517.22714,28.51,2013,10.095251520889569,744.63,1995.6084,Bus
3326,LIBRARY BU,D,1917.19,10148.49804,14.95,2013,5.293423207924097,1917.19,5138.069200000001,Bus
CE11JKZ,SMALL VAN,D,1070.13,,,2013,,,2867.9484000000007,Van
CE11JLO,SMALL VAN,D,1278.27,18843.76206,41.64,2013,14.74161332112934,1278.27,3425.7636,Van
CE11JLX,SMALL VAN,D,1793.51,21965.88166,34.59,2013,12.24742636506069,1793.51,4806.6068000000005,Van
CE11JMV,SMALL VAN,D,19.31,,,2013,,,51.7508,Van
CE11JMX,SMALL VAN,D,1309.12,17990.81186,38.82,2013,13.742675889146911,1309.12,3508.4416,Van
CK10TYO,SMALL VAN,D,971.38,21775.97954,63.32,2013,22.417570404990837,971.38,2603.2984,Van
CK11KUH,SMALL VAN,D,1078.24,17218.32866,45.1,2013,15.968920333135479,1078.24,2889.6832000000004,Van
CK11KUJ,SMALL VAN,D,1413.46,19939.7226,39.84,2013,14.107029983161887,1413.46,3788.0728000000004,Van
CK11KUO,SMALL VAN,D,1635.55,22133.25302,38.22,2013,13.532605557763445,1635.55,4383.274,Van
CK12EEH,SMALL VAN,D,151.21,1992.36292,37.21,2013,13.176132001851729,151.21,405.24280000000005,Van
CV12CUG,MED TIPPER,D,3260.69,28243.917,24.46,2013,8.661944864430534,3260.69,8738.6492,Truck
CV12CUW,MED TIPPER,D,2496.54,22224.9854,25.14,2013,8.902314963910053,2496.54,6690.7272,Truck
DG60WEC,SMALL VAN,D,38.0,568.09702,42.22,2013,14.94992157894737,38.0,101.84,Van
DG60WEK,SMALL VAN,D,306.12,3788.38636,41.08,2013,12.37549444662224,306.12,820.4016,Van
DOC MAST,MASTER,D,1351.58,14970.08068,31.28,2013,11.075985646428624,1351.58,3622.2344,Van
DP10XWA,LARGE VAN,D,534.87,6728.65054,35.53,2013,12.57997371323873,534.87,1433.4516,Van
DX11GMY,2 AXLE BIN,D,1261.51,2191.0,5.2,2013,1.7368074767540487,1261.51,3380.8468000000003,Truck
