company_name,facility_name,region,year,month,electricity_kwh,water_m3,electricity_cost_usd,water_cost_usd,co2_avoided_ton,lighting_pct,hvac_pct,machinery_pct,offices_pct,others_pct,gas_natural_m3,gas_natural_cost_usd,diesel_l,diesel_cost_usd,gasolina_l,gasolina_cost_usd,glp_propano_kg,glp_propano_cost_usd,vapor_termica_gj,vapor_termica_cost_usd,energia_renovable_kwh,energia_renovable_cost_usd,residuos_kg,residuos_cost_usd,emisiones_co2e_t,emisiones_co2e_cost_usd,quimicos_consumibles_l,quimicos_consumibles_cost_usd,software_start_year,dataset_focus
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2024,7,2759.37,930.55,325.61,1321.38,0.21,21.20,29.80,23.42,9.92,15.66,229.90,126.45,38.41,46.10,16.80,22.68,54.01,51.31,7.96,95.50,491.17,39.29,61.47,12.29,1.13,20.31,33.68,84.21,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2024,8,2735.99,937.64,322.85,1331.45,0.21,20.98,29.80,23.42,9.92,15.88,224.64,123.55,37.69,45.23,17.14,23.13,54.94,52.19,7.78,93.31,488.95,39.12,62.60,12.52,1.11,20.05,34.30,85.75,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2024,9,2741.39,959.26,323.48,1362.15,0.21,20.90,28.00,23.42,9.92,17.76,221.88,122.04,37.43,44.92,17.38,23.47,56.20,53.39,7.68,92.17,491.87,39.35,63.73,12.75,1.11,19.98,34.92,87.29,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2024,10,2786.17,994.05,328.77,1411.55,0.21,20.98,28.00,23.42,9.92,17.68,222.37,122.31,37.69,45.23,17.47,23.59,57.46,54.59,7.70,92.37,501.89,40.15,64.85,12.97,1.12,20.11,35.53,88.84,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2024,11,2625.25,948.44,309.78,1346.78,0.20,21.20,28.00,23.42,9.92,17.46,225.98,124.29,38.41,46.10,17.38,23.47,58.39,55.47,7.82,93.87,474.77,37.98,60.35,12.07,1.13,20.32,33.07,82.66,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2024,12,2732.64,989.90,322.45,1405.66,0.21,21.50,28.00,23.42,9.92,17.16,231.73,127.45,39.40,47.28,17.14,23.13,58.73,55.79,8.02,96.26,496.14,39.69,61.47,12.29,1.15,20.73,33.68,84.21,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2025,1,2797.66,1006.43,330.12,1429.14,0.21,21.80,29.80,23.42,9.92,15.06,238.10,130.95,40.38,48.46,16.80,22.68,58.39,55.47,8.24,98.90,509.93,40.79,61.47,12.29,1.17,21.13,33.68,84.21,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2025,2,2901.53,1029.15,342.38,1461.39,0.22,22.02,29.80,23.42,9.92,14.84,243.36,133.85,41.11,49.33,16.46,22.23,57.46,54.59,8.42,101.09,530.93,42.47,62.60,12.52,1.19,21.43,34.30,85.75,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2025,3,2976.50,1037.39,351.23,1473.09,0.23,22.10,28.00,23.42,9.92,16.56,246.12,135.36,41.37,49.64,16.22,21.89,56.20,53.39,8.52,102.23,546.77,43.74,63.73,12.75,1.20,21.55,34.92,87.29,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2025,4,3012.22,1032.48,355.44,1466.12,0.23,22.02,28.00,23.42,9.92,16.64,245.63,135.09,41.11,49.33,16.13,21.77,54.94,52.19,8.50,102.03,555.48,44.44,64.85,12.97,1.19,21.46,35.53,88.84,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2025,5,2751.75,932.32,324.71,1323.90,0.21,21.80,28.00,23.42,9.92,16.86,242.02,133.11,40.38,48.46,16.22,21.89,54.01,51.31,8.38,100.53,509.40,40.75,60.35,12.07,1.17,21.07,33.07,82.66,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2025,6,2726.56,920.95,321.73,1307.75,0.21,21.50,28.00,23.42,9.92,17.16,236.27,129.95,39.40,47.28,16.46,22.23,53.67,50.99,8.18,98.14,506.68,40.53,61.47,12.29,1.15,20.70,33.68,84.21,2024,dashboard_simple_all_resources
EcoEnergy Operaciones S.A.,Planta Norte,Metropolitana,2025,7,2691.93,915.77,317.65,1300.39,0.21,21.20,29.80,23.42,9.92,15.66,229.90,126.45,38.41,46.10,16.80,22.68,54.01,51.31,7.96,95.50,502.16,40.17,62.60,12.52,1.13,20.33,34.30,85.75,2024,dashboard_simple_all_resources
