company_name,facility_name,region,year,month,electricity_kwh,water_m3,electricity_cost_usd,water_cost_usd,co2_avoided_ton,lighting_pct,hvac_pct,machinery_pct,offices_pct,others_pct,gas_natural_m3,gas_natural_cost_usd,diesel_l,diesel_cost_usd,gasolina_l,gasolina_cost_usd,glp_propano_kg,glp_propano_cost_usd,vapor_termica_gj,vapor_termica_cost_usd,energia_renovable_kwh,energia_renovable_cost_usd,residuos_kg,residuos_cost_usd,emisiones_co2e_t,emisiones_co2e_cost_usd,quimicos_consumibles_l,quimicos_consumibles_cost_usd,software_start_year,dataset_focus
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,1,1842.51,882.88,158.46,1076.21,0.3877,25.91,35.84,22.1,11.87,4.28,120.08,56.54,12.55,16.92,7.32,9.64,71.1,82.74,4.61,57.22,349.31,14.56,33.77,6.42,0.794,8.32,35.96,75.73,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,2,1891.04,838.51,164.01,1008.31,0.3923,26.59,33.85,24.2,10.65,4.72,123.79,61.11,12.4,16.52,6.73,9.54,69.15,79.09,5.04,57.43,359.74,15.58,32.71,6.57,0.8152,9.54,36.05,72.38,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,3,1971.1,817.73,171.49,964.92,0.4114,26.0,34.88,23.9,10.91,4.31,126.85,61.86,13.69,19.49,7.18,10.24,66.92,74.69,4.89,61.75,378.52,16.49,32.78,7.71,0.8248,10.74,33.31,70.24,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,4,1934.9,765.58,167.82,886.16,0.3936,27.16,35.13,22.66,10.51,4.54,128.24,58.94,12.52,17.67,6.71,10.36,62.02,76.09,4.99,60.73,364.72,14.98,32.19,6.67,0.8243,9.38,30.19,66.38,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,5,1879.02,766.24,161.6,874.3,0.384,25.26,32.47,24.1,12.47,5.7,119.86,61.04,12.3,17.87,6.28,9.08,63.22,75.86,4.7,58.8,361.9,14.04,34.63,6.57,0.771,8.77,31.81,66.8,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,6,1735.8,742.79,147.54,843.06,0.3836,26.42,33.11,24.45,11.04,4.99,112.89,56.03,11.32,17.53,6.55,8.16,65.56,71.34,4.22,53.37,313.27,12.6,29.94,6.0,0.766,9.12,29.22,64.9,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,7,1614.51,776.45,135.62,885.96,0.3398,25.17,35.65,22.47,11.74,4.96,105.94,49.73,12.32,16.28,5.51,8.16,63.75,77.28,4.14,51.39,318.87,10.8,30.33,5.28,0.6909,8.32,32.47,68.16,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,8,1618.99,804.56,134.81,931.28,0.3555,28.45,35.22,21.29,9.97,5.07,102.57,49.1,10.39,14.86,6.28,8.31,70.62,78.95,3.91,50.35,299.44,11.9,27.11,5.28,0.7142,7.86,32.16,68.19,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,9,1537.5,806.87,127.61,952.1,0.2888,24.73,35.65,23.74,10.9,4.98,103.62,47.33,11.41,14.29,5.71,8.18,67.63,74.24,3.85,48.23,298.95,11.31,28.34,5.77,0.7113,7.87,32.45,70.12,2017,water
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,10,1621.43,867.44,135.01,1043.1,0.3641,26.0,36.61,21.48,10.68,5.24,106.28,51.83,11.71,16.13,5.71,8.23,69.72,82.42,4.03,49.85,300.65,12.11,29.43,6.16,0.6873,8.34,33.81,75.87,2017,water
