company_name,facility_name,region,year,month,electricity_kwh,water_m3,electricity_cost_usd,water_cost_usd,co2_avoided_ton,lighting_pct,hvac_pct,machinery_pct,offices_pct,others_pct,gas_natural_m3,gas_natural_cost_usd,diesel_l,diesel_cost_usd,gasolina_l,gasolina_cost_usd,glp_propano_kg,glp_propano_cost_usd,vapor_termica_gj,vapor_termica_cost_usd,energia_renovable_kwh,energia_renovable_cost_usd,residuos_kg,residuos_cost_usd,emisiones_co2e_t,emisiones_co2e_cost_usd,quimicos_consumibles_l,quimicos_consumibles_cost_usd,software_start_year,dataset_focus
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,1,2199.45,1193.04,270.38,1915.30,0.6256,27.71,32.63,23.82,9.78,6.06,146.29,70.06,15.43,22.05,8.25,10.88,91.42,109.18,5.65,69.84,413.70,16.61,38.57,8.06,0.9214,11.35,47.30,93.98,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,2,2325.59,1148.41,278.63,1773.00,0.5924,26.19,35.05,23.01,10.81,4.94,145.77,71.02,15.40,21.31,8.36,12.28,85.70,95.34,5.97,72.37,432.02,17.55,41.43,8.05,0.9604,12.22,41.86,91.62,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,3,2394.56,1098.61,288.74,1733.15,0.6491,29.88,34.16,21.08,10.47,4.41,155.83,73.71,15.08,22.33,8.45,12.31,81.01,98.34,5.69,74.48,446.71,17.21,39.74,8.27,0.9396,11.85,41.81,88.36,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,4,2264.50,1039.31,268.91,1559.30,0.6346,26.92,34.15,22.43,10.50,6.00,146.95,67.87,15.75,21.03,8.41,11.83,81.17,90.43,5.49,68.11,429.34,16.83,39.11,7.97,0.9590,11.24,39.44,83.05,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,5,2318.52,986.26,273.67,1458.52,0.6301,26.17,33.16,23.34,12.35,4.98,150.92,70.40,16.29,21.36,8.37,11.26,73.16,85.56,5.85,70.38,443.80,17.89,38.37,7.84,0.9858,11.90,38.61,77.92,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,6,2028.16,995.35,244.06,1464.44,0.5740,27.47,37.16,21.15,10.49,3.73,133.72,64.23,15.00,18.96,7.13,10.50,75.67,86.57,5.12,63.17,377.68,15.34,34.30,6.58,0.8839,9.62,37.63,79.74,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,7,1989.27,1030.58,233.62,1557.44,0.5486,25.25,33.46,24.37,11.21,5.71,128.05,59.37,13.69,18.47,7.28,10.13,78.74,90.57,5.09,61.77,367.68,14.63,34.75,6.51,0.8967,9.05,39.47,80.13,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,8,1884.61,997.60,219.69,1499.65,0.4471,25.89,34.71,23.48,11.70,4.22,120.10,57.44,12.17,17.33,7.62,9.06,75.76,87.33,4.55,57.62,360.62,14.94,31.89,6.54,0.8265,9.88,38.56,80.01,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,9,1783.68,1011.38,207.85,1577.42,0.4929,28.07,35.01,21.96,10.63,4.33,114.40,57.91,13.59,17.23,6.63,9.51,76.49,87.86,4.55,55.73,327.95,13.37,32.18,6.28,0.7472,9.34,37.30,79.91,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,10,1809.85,1109.91,211.02,1731.36,0.4711,25.26,36.71,22.70,10.26,5.07,116.06,52.37,12.56,16.95,6.29,9.45,85.02,96.27,4.46,55.46,337.52,12.34,33.52,6.85,0.8434,9.22,40.37,87.78,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,11,1857.82,1128.06,220.10,1819.94,0.4816,26.90,33.05,23.82,10.62,5.61,123.60,61.19,13.18,17.16,7.47,9.28,87.60,98.77,4.47,57.19,354.39,14.93,34.80,6.77,0.8496,8.69,44.17,88.99,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,12,2033.31,1173.67,242.06,1833.13,0.5593,26.97,33.77,23.96,9.78,5.52,135.61,60.90,13.28,20.52,7.70,10.50,86.14,97.76,4.83,62.86,392.64,16.24,37.95,7.42,0.9120,10.16,43.97,92.15,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,1,2084.69,1118.95,266.23,1808.42,0.5999,27.64,33.00,23.40,10.26,5.70,142.83,65.67,14.53,20.60,7.13,11.85,82.66,102.96,5.57,65.71,411.10,17.89,37.72,8.49,0.9509,10.40,42.72,91.50,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,2,2250.90,1109.02,278.65,1807.17,0.6505,25.41,34.18,22.25,13.04,5.12,144.60,68.03,14.64,20.74,8.82,11.22,83.68,98.54,5.74,70.49,450.60,18.27,40.65,8.36,0.9112,11.75,41.86,92.17,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,3,2293.38,1036.61,286.20,1660.87,0.6131,27.16,34.81,22.25,11.44,4.34,149.55,74.08,14.51,21.02,7.95,12.88,75.76,93.30,5.53,72.51,449.90,19.33,38.86,7.87,0.9620,12.90,38.14,89.32,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,4,2328.57,1027.24,288.44,1601.27,0.6621,27.40,34.85,22.07,11.43,4.25,152.62,74.55,15.44,21.14,8.48,11.48,74.71,90.77,5.69,73.35,447.19,18.69,38.07,8.65,0.9494,10.88,39.15,81.81,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,5,2206.39,977.67,270.29,1498.92,0.6167,26.39,33.86,25.06,9.63,5.06,143.76,69.10,14.24,20.60,7.67,10.90,76.62,90.06,5.43,68.82,437.31,18.23,37.36,7.47,0.9330,11.18,37.68,81.20,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,6,2092.95,985.86,253.80,1519.28,0.5734,28.26,32.95,21.38,12.19,5.22,135.46,63.26,14.01,20.03,6.81,11.38,74.53,88.40,5.14,64.30,423.68,16.28,35.57,7.65,0.8858,9.98,38.28,78.03,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,7,1812.85,917.09,226.01,1396.53,0.5074,27.94,34.61,21.55,11.30,4.60,119.07,58.40,12.34,16.80,6.79,8.57,70.49,81.14,4.38,58.41,358.64,13.58,31.82,6.71,0.7428,9.70,33.39,76.96,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,8,1727.53,967.91,214.27,1525.22,0.4719,26.36,34.76,22.98,10.50,5.40,111.01,54.40,12.17,16.40,6.52,9.01,73.89,86.27,4.31,55.30,341.40,13.90,30.68,6.27,0.7344,8.15,35.95,79.49,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,9,1820.96,1038.47,221.00,1678.19,0.5221,28.00,32.85,23.00,12.43,3.72,114.75,58.11,12.05,17.26,6.52,9.18,77.29,94.66,4.15,56.48,353.29,14.06,32.41,6.20,0.7871,9.23,41.14,86.54,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,10,1781.55,1072.08,214.79,1717.35,0.4906,28.14,33.36,23.86,11.36,3.28,111.58,57.02,11.67,16.98,6.91,9.69,82.37,97.91,4.59,58.14,343.59,14.86,31.47,6.56,0.7943,9.46,40.81,89.50,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,11,1909.27,1053.04,231.31,1709.04,0.5062,27.22,35.07,23.44,10.45,3.82,120.84,57.52,13.07,17.15,7.01,9.12,78.12,96.94,4.75,59.76,363.50,14.91,33.05,7.88,0.7752,9.60,40.75,86.31,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,12,1963.55,1110.08,247.57,1810.36,0.5440,25.79,34.51,25.21,10.82,3.67,130.38,63.51,14.30,19.32,7.13,10.65,83.41,98.75,4.70,63.96,384.65,17.02,36.51,7.28,0.8607,10.00,40.58,88.53,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,1,2099.86,1084.55,269.26,1858.49,0.6047,27.66,33.64,21.61,11.56,5.53,136.21,67.71,14.07,21.27,7.04,11.20,83.99,99.76,5.17,67.81,428.41,17.10,37.05,7.69,0.8958,10.72,41.97,93.51,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,2,2144.04,1070.16,281.04,1820.09,0.6104,25.10,33.54,25.20,11.09,5.07,140.76,73.94,15.20,20.52,8.02,11.51,81.73,102.21,5.48,69.46,437.13,19.15,38.31,8.32,0.9296,10.50,41.48,92.18,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,3,2180.92,1038.51,288.72,1697.40,0.6245,26.15,34.23,23.49,10.42,5.71,142.02,70.58,14.82,21.29,7.52,11.10,80.34,96.94,5.63,70.24,445.54,19.15,37.72,8.15,0.9659,10.64,39.41,85.80,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,4,2110.58,936.97,281.83,1554.41,0.6248,28.89,32.87,23.26,10.45,4.53,134.70,66.91,14.58,21.57,7.93,11.33,73.80,86.00,5.43,68.03,441.81,19.03,36.29,7.99,0.8675,9.20,36.07,78.38,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,5,2122.42,938.96,271.72,1513.84,0.5903,26.24,33.40,25.39,10.04,4.93,139.58,66.78,14.29,21.17,8.38,11.99,74.45,90.71,5.07,69.89,437.64,17.62,37.34,7.04,0.8600,10.43,35.95,81.40,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,6,1897.42,866.69,248.14,1395.70,0.5502,27.28,34.73,19.85,12.05,6.09,125.15,62.47,12.75,19.26,6.83,9.36,62.66,78.94,4.65,63.30,384.05,16.54,31.52,7.27,0.7496,10.13,34.12,72.90,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,7,1768.96,874.90,228.03,1438.41,0.4832,28.04,32.22,22.97,11.08,5.69,116.83,56.67,12.05,16.76,6.09,9.16,66.85,81.83,4.31,58.33,354.25,14.62,30.94,6.63,0.7367,9.58,33.99,72.96,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,8,1689.64,953.83,216.25,1521.62,0.4862,26.55,34.39,23.76,9.54,5.76,113.44,57.69,11.44,17.42,6.14,9.01,71.98,85.44,4.32,55.89,354.72,14.41,30.20,6.68,0.7428,8.07,34.56,79.96,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,9,1692.27,981.05,217.93,1634.70,0.5149,26.08,32.45,23.51,12.40,5.56,111.20,54.73,11.86,17.29,5.79,9.84,75.36,95.25,4.18,54.77,353.05,14.39,30.57,6.98,0.7116,8.47,37.44,83.73,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,10,1681.76,997.87,213.63,1669.59,0.4771,27.83,31.97,23.98,11.07,5.15,112.76,53.92,11.09,16.62,5.75,9.49,74.39,90.60,4.23,55.52,346.53,13.60,29.67,6.95,0.7580,9.55,40.16,83.50,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,11,1809.00,1068.88,224.65,1825.39,0.5119,29.38,33.88,22.14,10.12,4.48,118.39,58.76,11.54,18.92,6.54,9.52,81.31,101.28,4.37,58.78,364.72,16.00,34.39,7.41,0.7882,10.11,40.05,86.62,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,12,1983.20,1101.75,250.26,1857.27,0.5687,25.81,34.33,23.34,10.51,6.01,124.30,61.28,14.05,19.80,7.37,10.66,82.15,99.00,5.01,63.67,397.86,17.21,35.99,7.51,0.8312,10.35,41.27,91.78,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,1,1972.83,1041.36,269.17,1837.53,0.6099,25.29,33.65,23.71,11.58,5.77,126.40,67.98,13.17,20.60,7.36,11.37,80.79,98.78,4.73,64.98,410.25,18.26,37.28,7.14,0.8368,9.51,40.55,87.64,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,2,2018.69,1004.07,275.21,1725.02,0.6166,28.00,33.08,22.35,11.26,5.31,128.71,67.08,14.83,21.30,7.09,11.41,74.58,94.98,4.89,66.72,422.59,20.06,35.95,6.76,0.8257,10.33,37.46,84.28,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,3,2106.54,1019.25,291.80,1735.34,0.6298,26.62,34.13,22.30,11.39,5.56,136.33,71.06,14.51,21.18,7.89,12.22,74.84,100.30,5.08,72.35,446.07,19.83,37.04,7.94,0.8735,11.14,39.06,86.33,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,4,2071.69,910.55,275.87,1543.21,0.6412,28.50,32.76,23.51,9.99,5.24,133.92,67.89,14.45,20.63,7.32,11.35,70.53,88.03,4.94,69.72,438.75,18.65,34.36,7.89,0.8963,11.95,34.94,81.40,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,5,2131.43,887.21,280.98,1514.66,0.6632,27.29,33.72,21.68,12.03,5.28,134.47,70.02,14.99,20.69,8.25,12.05,66.67,86.30,5.37,70.72,447.48,19.55,34.54,7.27,0.8431,11.72,33.41,74.58,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,6,1927.06,887.71,262.40,1485.59,0.6269,27.98,33.96,24.11,8.66,5.29,129.60,64.13,13.09,18.85,7.91,10.94,67.68,86.14,4.71,64.72,402.30,17.27,35.01,7.55,0.8568,9.81,33.77,74.39,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,7,1788.15,868.45,233.53,1448.96,0.5098,28.16,33.64,21.43,13.15,3.62,114.66,58.89,12.44,19.40,6.58,9.75,68.10,79.02,4.51,57.98,371.22,17.69,30.39,6.51,0.7315,10.10,33.86,74.93,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,8,1694.43,896.56,227.65,1502.13,0.5028,25.69,33.29,23.42,12.65,4.95,107.07,56.18,11.28,16.37,6.03,9.80,67.78,81.62,4.48,56.47,354.38,16.17,30.85,6.09,0.6966,9.29,33.96,77.91,2017,water
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2023,9,1551.72,912.34,204.14,1578.05,0.4610,26.76,35.00,23.91,9.89,4.44,99.25,53.58,9.60,17.12,5.52,9.11,70.25,90.99,3.94,51.61,315.77,15.08,29.12,6.23,0.6837,8.80,36.37,76.61,2017,water
