company_name,facility_name,region,year,month,electricity_kwh,water_m3,electricity_cost_usd,water_cost_usd,co2_avoided_ton,lighting_pct,hvac_pct,machinery_pct,offices_pct,others_pct,gas_natural_m3,gas_natural_cost_usd,diesel_l,diesel_cost_usd,gasolina_l,gasolina_cost_usd,glp_propano_kg,glp_propano_cost_usd,vapor_termica_gj,vapor_termica_cost_usd,energia_renovable_kwh,energia_renovable_cost_usd,residuos_kg,residuos_cost_usd,emisiones_co2e_t,emisiones_co2e_cost_usd,quimicos_consumibles_l,quimicos_consumibles_cost_usd,software_start_year,dataset_focus
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,1,2196.62,726.68,188.91,885.81,0.4706,26.87,33.96,22.32,11.35,5.5,142.97,68.14,13.65,21.02,8.16,11.23,62.0,66.07,5.22,68.32,423.97,15.24,33.23,7.03,0.8981,10.83,30.34,61.17,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,2,2246.23,717.05,194.82,862.25,0.4485,26.63,35.73,22.91,9.61,5.12,145.97,65.52,16.06,21.6,7.95,12.11,56.86,69.89,5.6,70.15,429.68,15.95,36.54,7.34,0.8965,10.0,30.08,61.51,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,3,2296.45,663.22,199.79,782.6,0.5226,25.15,36.68,23.05,10.18,4.94,151.18,70.34,16.6,22.63,8.06,12.58,51.98,65.8,5.63,69.99,432.54,18.08,36.68,6.38,0.861,9.81,26.31,58.17,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,4,2289.09,641.07,198.54,742.04,0.4935,25.97,33.86,22.66,12.25,5.26,150.09,69.77,16.07,22.38,7.83,11.65,53.1,59.83,6.01,71.68,426.76,18.21,34.84,6.74,0.9118,10.36,27.09,54.26,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,5,2211.08,621.47,190.15,709.12,0.4449,26.74,34.04,23.2,10.41,5.61,143.8,68.53,15.89,20.74,8.31,11.05,50.72,61.36,5.19,68.87,415.97,17.25,33.43,6.71,0.8153,8.91,24.54,54.33,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,6,2083.9,595.5,177.13,675.9,0.459,27.84,32.53,22.97,11.7,4.96,136.42,66.26,13.97,20.27,7.3,11.38,49.55,54.19,5.29,65.74,402.53,17.27,31.26,6.3,0.8594,9.13,24.22,52.43,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,7,1953.21,616.93,164.07,703.94,0.4464,27.04,34.24,23.56,10.42,4.74,129.71,60.28,12.92,18.88,6.35,10.12,46.18,59.86,5.18,60.38,377.66,16.72,29.21,6.66,0.7817,8.89,26.1,53.46,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,8,1863.31,658.14,155.15,761.8,0.3899,27.78,34.19,23.17,10.66,4.2,119.61,58.61,13.3,17.16,6.66,9.56,53.93,62.69,4.49,57.68,358.66,13.82,29.22,6.37,0.7394,9.2,26.45,56.45,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,9,1860.6,694.87,154.43,819.95,0.4007,27.34,34.31,22.75,10.68,4.92,119.2,57.75,12.75,17.09,7.27,9.55,58.18,67.83,4.78,56.43,347.37,15.08,30.22,6.27,0.7138,6.83,28.73,60.02,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,10,1902.83,737.16,158.44,886.43,0.3889,28.87,33.84,21.79,11.42,4.07,123.48,58.71,12.95,16.87,5.86,10.17,62.44,72.24,4.75,58.85,356.01,14.05,32.45,6.44,0.773,8.87,29.27,61.4,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 01,Santiago,2000,11,2001.63,745.76,168.14,909.05,0.4466,28.86,32.35,22.41,11.52,4.87,124.07,62.44,13.32,18.23,7.15,9.7,62.42,69.74,5.13,61.12,386.49,14.68,34.02,6.33,0.7845,9.83,29.45,66.3,2016,electricity
