company_name,facility_name,region,year,month,electricity_kwh,water_m3,electricity_cost_usd,water_cost_usd,co2_avoided_ton,lighting_pct,hvac_pct,machinery_pct,offices_pct,others_pct,gas_natural_m3,gas_natural_cost_usd,diesel_l,diesel_cost_usd,gasolina_l,gasolina_cost_usd,glp_propano_kg,glp_propano_cost_usd,vapor_termica_gj,vapor_termica_cost_usd,energia_renovable_kwh,energia_renovable_cost_usd,residuos_kg,residuos_cost_usd,emisiones_co2e_t,emisiones_co2e_cost_usd,quimicos_consumibles_l,quimicos_consumibles_cost_usd,software_start_year,dataset_focus
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,1,3082.65,994.69,374.74,1563.39,0.8005,26.26,33.79,24.50,10.18,5.27,192.54,92.77,20.72,28.17,10.65,15.17,80.59,94.04,7.64,90.71,567.76,23.22,48.65,9.55,1.1688,14.28,40.67,86.21,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,2,3272.95,967.56,393.14,1497.67,0.8115,25.53,33.54,24.14,11.98,4.81,201.36,95.59,22.01,28.84,11.61,15.89,77.60,90.52,7.64,97.23,604.25,24.04,48.45,10.05,1.2837,14.61,40.15,81.34,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,3,3347.89,908.74,400.46,1387.35,0.8697,27.12,33.10,22.08,11.31,6.39,200.66,94.41,21.36,27.75,10.31,15.58,75.59,87.65,7.98,96.67,594.82,23.83,48.13,9.58,1.2007,15.15,37.52,77.31,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,4,3379.20,862.88,405.42,1325.22,0.8320,27.44,34.66,22.67,10.60,4.63,207.06,95.96,20.44,29.66,10.73,15.84,71.44,84.17,7.95,96.74,600.25,23.52,45.92,9.86,1.2758,15.07,35.42,75.37,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,5,3145.54,811.60,374.24,1239.69,0.7762,28.29,33.16,22.61,12.32,3.62,192.15,92.31,20.67,26.78,10.74,14.87,63.90,78.51,7.05,89.35,566.49,21.81,46.05,8.91,1.1031,12.71,35.73,69.44,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,6,2874.57,805.19,347.49,1211.17,0.7543,26.84,33.74,24.71,9.97,4.74,176.72,83.23,18.96,25.34,9.99,13.73,65.48,81.75,6.85,85.26,507.60,19.19,41.90,8.34,1.0685,12.69,33.85,69.67,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,7,2613.82,790.24,312.84,1203.78,0.6735,25.70,34.81,22.71,12.27,4.51,159.26,74.61,19.16,23.14,9.10,13.48,65.17,76.04,6.24,77.89,472.50,18.89,40.51,7.78,0.9606,11.01,32.80,66.72,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,8,2641.42,843.18,309.32,1284.68,0.7025,25.87,33.52,24.31,11.83,4.47,163.44,80.87,16.80,23.22,8.62,13.13,68.56,78.87,6.41,77.25,483.95,17.51,38.78,7.83,0.9767,11.70,36.59,74.44,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,9,2617.31,925.09,308.42,1440.86,0.6598,26.55,35.32,22.52,10.84,4.77,164.44,76.73,18.69,23.28,9.08,12.51,75.70,89.06,6.00,78.16,457.31,18.71,39.43,8.08,0.9509,11.25,38.52,77.10,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,10,2588.15,930.81,308.12,1451.79,0.6959,25.87,33.48,25.18,10.93,4.54,156.10,75.48,16.37,23.00,8.29,13.00,75.13,87.54,5.83,76.77,469.66,19.67,41.24,8.07,1.0151,12.09,38.40,82.01,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,11,2819.07,970.10,330.06,1550.92,0.6971,25.22,32.60,22.49,13.78,5.91,168.95,83.65,18.68,25.02,9.35,13.39,82.31,91.24,6.80,82.21,506.27,21.80,43.78,8.84,1.0636,13.08,39.55,82.03,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2020,12,2931.16,986.45,353.59,1558.42,0.7175,26.44,33.11,23.20,11.64,5.61,184.18,83.44,18.12,26.89,9.74,13.56,80.20,95.97,6.73,87.02,522.20,22.08,42.88,9.36,1.1193,14.39,39.96,85.45,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,1,3076.28,933.81,377.55,1555.24,0.8294,27.47,33.86,22.37,11.80,4.50,187.12,92.64,20.23,27.41,11.21,15.91,77.01,89.16,7.51,91.42,568.28,24.89,45.64,9.81,1.1250,13.54,38.48,82.41,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,2,3173.25,905.20,402.17,1464.44,0.8345,27.91,32.43,23.46,11.50,4.70,191.45,95.47,20.36,27.76,10.34,14.61,77.14,92.84,7.67,97.15,604.99,23.16,46.99,9.23,1.2694,13.82,38.12,82.37,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,3,3144.52,855.04,392.72,1385.44,0.8521,26.03,35.93,22.84,10.74,4.46,195.58,94.66,19.50,28.68,10.34,15.42,72.21,85.04,7.77,96.35,573.39,24.95,46.79,8.95,1.1431,13.33,35.47,76.32,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,4,3041.23,787.45,379.18,1274.51,0.7769,27.93,35.99,19.97,11.18,4.93,191.55,92.03,19.69,26.70,9.09,14.92,65.94,77.41,7.31,90.81,572.41,21.79,44.69,8.92,1.0875,14.21,32.33,70.13,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,5,2991.05,792.24,372.46,1219.42,0.7764,26.52,34.98,23.24,10.42,4.84,178.29,88.81,17.92,26.57,10.33,14.50,67.30,75.85,6.37,89.17,545.03,22.23,42.96,8.63,1.0795,11.36,30.41,70.11,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,6,2790.10,774.38,347.77,1212.80,0.7290,27.57,34.32,23.27,10.09,4.75,172.93,85.59,16.99,26.20,9.19,14.16,65.59,76.08,6.51,83.79,517.39,20.50,43.14,8.50,0.9861,11.06,33.33,70.68,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,7,2620.79,775.71,325.95,1181.97,0.6872,25.99,34.82,24.07,10.52,4.60,163.87,81.71,17.44,22.58,9.13,12.75,64.82,74.84,6.04,78.60,500.38,20.35,39.77,7.28,0.9411,10.61,31.31,66.80,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,8,2591.67,839.46,312.40,1356.96,0.6204,29.10,34.70,22.26,10.44,3.50,155.00,75.37,16.44,24.04,8.42,12.42,70.74,79.98,5.99,76.16,481.80,20.54,39.85,7.55,0.9703,11.72,34.36,76.81,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,9,2533.72,892.76,308.08,1427.49,0.6912,27.16,33.84,24.30,10.57,4.13,157.16,75.40,14.84,21.87,8.47,12.12,73.10,84.92,5.68,73.97,460.53,19.13,38.89,8.45,0.9720,11.81,37.18,77.76,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,10,2420.91,874.49,295.34,1414.71,0.6367,25.75,32.49,23.57,12.81,5.38,150.26,74.72,16.14,21.82,8.24,11.09,70.74,84.73,6.03,72.07,463.37,18.80,40.17,7.99,0.9363,11.67,37.54,78.97,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,11,2576.85,894.56,319.71,1499.40,0.6807,25.36,35.75,24.11,10.48,4.30,154.62,76.01,15.56,24.24,8.97,11.54,75.40,87.36,6.04,77.61,463.57,19.54,40.44,9.09,1.0069,11.63,36.82,78.94,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2021,12,2848.89,963.44,347.92,1550.33,0.7350,27.82,33.84,23.67,9.02,5.65,173.28,87.11,17.57,24.42,9.82,14.79,76.21,93.40,6.75,84.00,514.34,20.83,43.16,8.46,1.0837,12.89,37.83,83.57,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,1,2853.09,910.26,375.79,1562.64,0.7505,25.18,32.08,25.22,11.69,5.83,176.55,87.44,18.32,26.09,9.57,14.48,74.36,93.67,6.51,89.04,567.64,23.64,44.09,8.52,1.0944,12.45,37.12,82.21,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,2,3022.66,893.17,391.30,1487.80,0.8307,24.55,35.35,22.84,11.37,5.89,186.59,94.98,18.85,27.15,9.64,14.97,73.96,92.63,7.11,91.75,563.33,24.00,45.28,9.18,1.1195,14.24,37.06,81.82,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,3,2994.11,839.76,402.83,1379.10,0.8213,26.56,33.57,23.44,10.67,5.76,184.34,95.38,19.22,29.57,10.58,15.75,68.84,86.07,7.10,93.90,597.26,24.29,47.82,9.17,1.0573,13.49,34.38,77.22,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,4,2928.68,813.31,382.59,1312.25,0.8150,27.59,32.96,22.87,10.39,6.19,178.64,91.24,18.69,26.42,8.92,15.01,69.78,81.67,6.75,92.46,568.40,23.72,44.87,9.26,1.0997,11.54,33.76,75.37,2016,electricity
Industrias Atlas Ficticia S.A.,Planta 001,Santiago,2022,5,3025.52,780.25,392.95,1262.91,0.7947,24.84,34.54,24.07,11.47,5.08,188.06,92.50,19.72,28.93,10.03,14.88,62.77,75.33,6.70,94.65,560.47,24.87,42.26,9.53,1.1114,13.37,31.26,71.44,2016,electricity
