company_name,facility_name,region,year,month,electricity_kwh,water_m3,electricity_cost_usd,water_cost_usd,co2_avoided_ton,lighting_pct,hvac_pct,machinery_pct,offices_pct,others_pct,gas_natural_m3,gas_natural_cost_usd,diesel_l,diesel_cost_usd,gasolina_l,gasolina_cost_usd,glp_propano_kg,glp_propano_cost_usd,vapor_termica_gj,vapor_termica_cost_usd,energia_renovable_kwh,energia_renovable_cost_usd,residuos_kg,residuos_cost_usd,emisiones_co2e_t,emisiones_co2e_cost_usd,quimicos_consumibles_l,quimicos_consumibles_cost_usd
Green Glow Industries,Planta Norte,Santiago,2025,1,2300,980,5200,1300,0.52,27,36,21,11,5,172.50,94.88,20.70,24.84,8.05,10.87,88.75,84.31,6.44,77.28,442.75,35.42,38.60,7.72,0.7556,13.60,45.94,114.85
Green Glow Industries,Planta Sur,Valparaiso,2025,1,2100,860,4800,1140,0.47,29,34,23,9,5,157.50,86.62,18.90,22.68,7.35,9.92,78.25,74.34,5.88,70.56,404.25,32.34,34.20,6.84,0.6892,12.41,40.38,100.95
Green Glow Industries,Planta Norte,Santiago,2025,2,2250,940,5120,1260,0.51,27,35,22,11,5,168.75,92.81,20.25,24.30,7.88,10.63,85.33,81.06,6.30,75.60,445.50,35.64,37.20,7.44,0.7388,13.30,44.10,110.25
Green Glow Industries,Planta Sur,Valparaiso,2025,2,2050,820,4700,1080,0.45,29,33,24,9,5,153.75,84.56,18.45,22.14,7.17,9.69,74.82,71.08,5.74,68.88,405.90,32.47,32.80,6.56,0.6724,12.10,38.54,96.35
Green Glow Industries,Planta Norte,Santiago,2025,3,2400,1010,5450,1350,0.56,28,35,21,11,5,180.00,99.00,21.60,25.92,8.40,11.34,91.60,87.02,6.72,80.64,488.40,39.07,39.90,7.98,0.7882,14.19,47.37,118.42
Green Glow Industries,Planta Sur,Valparaiso,2025,3,2180,890,5000,1170,0.48,30,33,23,9,5,163.50,89.93,19.62,23.54,7.63,10.30,81.01,76.96,6.10,73.25,443.63,35.49,35.42,7.08,0.7154,12.88,41.79,104.48
Green Glow Industries,Planta Norte,Santiago,2025,4,2350,1040,5360,1390,0.55,28,34,22,11,5,176.25,96.94,21.15,25.38,8.22,11.10,93.78,89.09,6.58,78.96,491.15,39.29,40.60,8.12,0.7728,13.91,48.68,121.70
Green Glow Industries,Planta Sur,Valparaiso,2025,4,2120,920,4890,1210,0.47,30,32,24,9,5,159.00,87.45,19.08,22.90,7.42,10.02,83.14,78.98,5.94,71.23,443.08,35.45,36.08,7.22,0.6968,12.54,43.10,107.74
Green Glow Industries,Planta Norte,Santiago,2025,5,2280,960,5180,1280,0.53,27,35,22,11,5,171.00,94.05,20.52,24.62,7.98,10.77,87.06,82.71,6.38,76.61,489.06,39.12,37.92,7.58,0.7488,13.48,45.02,112.56
Green Glow Industries,Planta Sur,Valparaiso,2025,5,2060,850,4750,1120,0.45,29,33,24,9,5,154.50,84.98,18.54,22.25,7.21,9.73,77.27,73.41,5.77,69.22,441.87,35.35,33.74,6.75,0.6762,12.17,39.90,99.75
Green Glow Industries,Planta Norte,Santiago,2025,6,2700,1180,6200,1580,0.62,27,36,22,10,5,202.50,111.38,24.30,29.16,9.45,12.76,106.55,101.22,7.56,90.72,594.00,47.52,46.20,9.24,0.8876,15.98,55.26,138.15
Green Glow Industries,Planta Sur,Valparaiso,2025,6,2480,1060,5700,1420,0.57,28,35,23,9,5,186.00,102.30,22.32,26.78,8.68,11.72,95.96,91.16,6.94,83.33,545.60,43.65,41.72,8.34,0.8148,14.67,49.68,124.21
